"Drug name"	"Active ingredient"	"Approval Date"	"Indication"	"Study ID"	"Study type"	"original_duration_years"	"Study classification"	"Neonate"	"Infant"	"Early childhood"	"Late childhood"	"Adolescent"	"Unspecified"	"ATC_category"	"BLA"	"Study report submission due date"	"Submission date"	"Status of current PMR"	"New PMR #2"	"New PMR replacing superseded PMR"	"PREA labeling change type"
"Benlysta"	"belimumab"	2011-03-09	"To treat patients with active, autoantibody-positive lupus (systemic lupus erythematosus) who are receiving standard therapy, including corticosteroids, antimalarials, immunosuppressives, and nonsteroidal anti-inflammatory drugs."	"PMR 2661-1"	"Primary safety study or clinical trial"	5.64818617385353	"efficacy"	"N"	"N"	"Y"	"Y"	"Y"	"N"	"Immunomodulating agents"	"125370"	2016-10-31	2018-10-26	"Fulfilled"	NA	"2661-15"	"addition of pediatric approval"
"Natroba"	"spinosad"	2011-01-18	"For the treatment of head lice infestation in patients ages 4 years and older."	"PMR 1711-1"	"Pharmacokinetic studies or clinical trials"	1.36618754277892	"PK"	"N"	"Y"	"Y"	"N"	"N"	"N"	"Antiinfectives for systemic use"	"N"	2012-05-31	2014-03-04	"Fulfilled"	NA	NA	"age expansion"
"Dificid"	"fidaxomicin"	2011-05-27	"For the treatment of Clostridium difficile-associated diarrhea (CDAD)."	"PMR 1757-1"	NA	1.927446954141	"safety"	"N"	"Y"	"Y"	"Y"	"Y"	"N"	"Alimentary tract and metabolism"	"N"	2013-04-30	2014-11-13	"Fulfilled"	NA	NA	"addition of pediatric approval"
"Dificid"	NA	2011-05-27	NA	"PMR 1757-2"	NA	6.17932922655715	"efficacy"	"N"	"Y"	"Y"	"Y"	"Y"	"N"	"Alimentary tract and metabolism"	"N"	2017-07-31	2019-07-24	"Fulfilled"	NA	NA	NA
"Edurant"	"rilpivirine"	2011-05-20	"For the treatment of HIV-1 infection in adults who have never taken HIV therapy."	"PMR 1768-1"	"Primary safety study or clinical trial
Pharmacokinetic studies or clinical trials"	7.86310746064339	"PK"	"Y"	"Y"	"Y"	"Y"	"Y"	"N"	"Antiinfectives for systemic use"	"N"	2019-03-31	2023-07-25	"Fulfilled"	"1982-3"	"1982-1"	"addition of pediatric approval"
"Edurant"	NA	2011-05-20	NA	"PMR 1768-2"	"Primary safety study or clinical trial
Pharmacokinetic studies or clinical trials"	3.7782340862423	"PK"	"N"	"N"	"N"	"N"	"Y"	"N"	"Antiinfectives for systemic use"	"N"	2015-02-28	2015-02-27	"Fulfilled"	NA	"1982-2"	"age expansion"
"Gadavist"	"gadobutrol"	2011-03-14	"For use in patients undergoing magnetic resonance imaging (MRI) of the central nervous system."	"PMR 1743-2"	"Primary safety study or clinical trial
Pharmacokinetic studies or clinical trials"	3.88501026694045	"PK"	"Y"	"Y"	"N"	"N"	"N"	"N"	"Other"	"N"	2015-01-31	2014-06-30	"Fulfilled"	NA	NA	"age expansion"
"Tradjenta"	"linagliptin"	2011-05-02	"An adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus."	"PMR 1766-1"	"Other: Subpopulation: Pediatric patients ages 10-16 years (inclusive) with type 2 diabetes mellitus"	3.33196440793977	"efficacy"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Alimentary tract and metabolism"	"N"	2014-08-31	2016-08-31	"Fulfilled"	NA	NA	"safety and effectiveness not established"
"Tradjenta"	NA	2011-05-02	NA	"PMR 1766-2"	"Other: Subpopulation: Pediatric patients ages 10-16 years (inclusive) with type 2 diabetes mellitus"	6.41478439425051	"efficacy"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Alimentary tract and metabolism"	"N"	2017-09-30	2022-12-20	"Fulfilled"	NA	"3300-1"	NA
"Edarbi"	"azilsartan medoxomil"	2011-02-25	"To treat high blood pressure (hypertension) in adults."	"PMR 1733-1"	NA	1.84804928131417	"PK"	"N"	"Y"	"Y"	"Y"	"Y"	"N"	"Other"	"N"	2012-12-31	NA	"Delayed"	NA	"1733-4"	"NONE"
"Edarbi"	NA	2011-02-25	NA	"PMR 1733-2"	NA	4.93086926762491	"efficacy"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Other"	"N"	2016-01-31	NA	"Released"	NA	"1733-4"	NA
"Edarbi"	NA	2011-02-25	NA	"PMR 1733-3"	NA	10.17659137577	"efficacy"	"N"	"Y"	"Y"	"Y"	"Y"	"N"	"Other"	"N"	2021-04-30	NA	"Delayed"	NA	"1733-5"	NA
"Horizant"	"gabapentin enacarbil"	2011-04-06	"A once-daily treatment for moderate-to-severe restless legs syndrome (RLS)."	"PMR 1588-1"	"Pharmacokinetic studies or clinical trials"	6.23408624229979	"PK"	"N"	"N"	"N"	"N"	"Y"	"N"	"Nervous system"	"N"	2017-06-30	NA	"Released"	NA	NA	"NONE"
"Horizant"	NA	2011-04-06	NA	"PMR 1588-2"	"Primary safety study or clinical trial
Dosing Trial"	13.5715263518138	"efficacy"	"N"	"N"	"N"	"N"	"Y"	"N"	"Nervous system"	"N"	2024-10-31	NA	"Released"	NA	NA	NA
"Horizant"	NA	2011-04-06	NA	"PMR 1588-3"	"Primary safety study or clinical trial
Dosing Trial"	14.3189596167009	"safety"	"N"	"N"	"N"	"N"	"Y"	"N"	"Nervous system"	"N"	2025-07-31	NA	"Released"	NA	NA	NA
