"Study ID"	"PREA labeling change type"	"Resulting label change from PMR (N if not, date if Y)"
"PMR 2661-1"	"addition of pediatric approval"	"04/26/2019"
"PMR 1711-1"	"age expansion"	"12/30/2014"
"PMR 1757-1"	"addition of pediatric approval"	"01/24/2020"
"PMR 1757-2"	"addition of pediatric approval"	"01/24/2020"
"PMR 1768-1"	"addition of pediatric approval"	"08/26/2015"
"PMR 1768-2"	"age expansion"	"3/15/2024"
"PMR 1743-2"	"age expansion"	"12/29/2014"
"PMR 1766-1"	"safety and effectiveness not established"	"6/20/2023"
"PMR 1766-2"	"safety and effectiveness not established"	"6/20/2023"
"PMR 1733-1"	"NONE"	"N"
"PMR 1733-2"	NA	"N"
"PMR 1733-3"	NA	"N"
"PMR 1588-1"	"NONE"	"N"
"PMR 1588-2"	NA	"N"
"PMR 1588-3"	NA	"N"
"PMR 1588-4"	NA	"N"
"PMR 1723-1"	"safety and effectiveness not established"	"1/31/2020"
"PMR 1723-2"	"safety and effectiveness not established"	"1/31/2020"
"PMR 1723-3"	"safety and effectiveness not established"	"1/31/2020"
"PMR 1975-1"	"NONE"	"N"
"PMR-1"	"addition of pediatric approval"	"7/31/2018"
"PMR 1924-1"	"safety and effectiveness not established"	"4/30/2021"
"PMR 2711-1"	"safety and effectiveness not established"	"6/12/2014"
"PMR 1898-1"	"addition of pediatric approval"	"3/25/2021"
"PMR 1898-2"	"addition of pediatric approval"	"3/25/2021"
"PMR 1919-1"	"addition of pediatric approval"	"1/27/2017"
"PMR 1919-2"	NA	"N"
"PMR 1934-1"	"addition of pediatric approval"	"9/25/2020"
"PMR 1934-2"	"addition of pediatric approval"	"9/25/2020"
"PMR 1915-2"	NA	"N"
"2161-3"	"addition of pediatric approval"	"6/12/2023"
"PMR 1915-3"	"NONE"	"N"
"PMR 1932-1"	"age expansion"	"9/27/2018"
"PMR 1932-2"	"age expansion"	"9/27/2018"
"PMR 1932-3"	NA	"N"
"PMR 1932-4"	NA	"N"
"3496-2"	NA	"N"
"PMR 2014-1"	"NONE"	"N"
"PMR 2021-2"	"age expansion"	"8/25/2017"
"PMR 2027-1"	"addition of pediatric approval"	"12/18/2024"
"PMR 2027-2"	"addition of pediatric approval"	"12/18/2024"
"PMR 2101-1"	"addition of pediatric approval"	"02/20/2018"
"PMR 2101-2"	"addition of pediatric approval"	"02/20/2018"
"PMR 2789-1"	"addition of pediatric approval"	"5/19/2021"
"PMR 2110-1"	"addition of pediatric approval"	"04/07/2017"
"PMR 2110-2"	"age expansion"	"8/28/2019"
"PMR 2078 -1"	"age expansion"	"6/12/2020"
"PMR 2078 -2"	"age expansion"	"6/12/2020"
"3091-3"	"age expansion"	"06/09/2016"
"3091-4"	NA	"N"
"3091-5"	NA	"N"
"PMR 2084-1"	"safety and effectiveness not established"	"8/23/2023"
"PMR 2084-2"	"safety and effectiveness not established"	"8/23/2023"
"PMR 2084-3"	"safety and effectiveness not established"	"1/22/2021"
"PMR 2007-1"	"safety and effectiveness not established"	"7/27/23"
"PMR 2007-2"	"safety and effectiveness not established"	"7/27/23"
"PMR 2007-3"	"safety and effectiveness not established"	"7/27/23"
"PMR 2099-2"	NA	"N"
"PMR 2099-3"	"addition of pediatric approval"	"9/13/2017"
"PMR 2099-4"	"addition of pediatric approval"	"9/13/2017"
"PMR 2099-5"	"addition of pediatric approval"	"9/13/2017"
"PMR 2099-6"	"addition of pediatric approval"	"9/13/2017"
"PMR 2099-7"	NA	"N"
"PMR 2099-8"	NA	"N"
